,Country,City,country_city
51561,United kingdom,Bethersden,"Bethersden, United kingdom"
51562,United kingdom,Bethesda,"Bethesda, United kingdom"
51563,United kingdom,Bethesda,"Bethesda, United kingdom"
51564,United kingdom,Bethesda,"Bethesda, United kingdom"
51565,United kingdom,Bethnal Green/London,"Bethnal Green/London, United kingdom"
51566,United kingdom,Betley,"Betley, United kingdom"
51567,United kingdom,Bettws Newydd,"Bettws Newydd, United kingdom"
51568,United kingdom,Betws-y-Coed,"Betws-y-Coed, United kingdom"
51569,United kingdom,Betws-yn-rhos,"Betws-yn-rhos, United kingdom"
51570,United kingdom,Beverley,"Beverley, United kingdom"
51571,United kingdom,Bewdley,"Bewdley, United kingdom"
51572,United kingdom,Bexhill,"Bexhill, United kingdom"
51573,United kingdom,Bexley,"Bexley, United kingdom"
51574,United kingdom,Bexleyheath,"Bexleyheath, United kingdom"
51575,United kingdom,Bexwell,"Bexwell, United kingdom"
51576,United kingdom,Bicester,"Bicester, United kingdom"
51577,United kingdom,Bickenhill,"Bickenhill, United kingdom"
51578,United kingdom,Bicker,"Bicker, United kingdom"
51579,United kingdom,Bickington,"Bickington, United kingdom"
51580,United kingdom,Bickley,"Bickley, United kingdom"
51581,United kingdom,Bicknacre,"Bicknacre, United kingdom"
51582,United kingdom,Biddenden,"Biddenden, United kingdom"
51583,United kingdom,Biddulph,"Biddulph, United kingdom"
51584,United kingdom,Bideford,"Bideford, United kingdom"
51585,United kingdom,Bidford,"Bidford, United kingdom"
51586,United kingdom,Bidston,"Bidston, United kingdom"
51587,United kingdom,Bieldside,"Bieldside, United kingdom"
51588,United kingdom,Biggar,"Biggar, United kingdom"
51589,United kingdom,Biggin Hill,"Biggin Hill, United kingdom"
51590,United kingdom,Biggleswade,"Biggleswade, United kingdom"
51591,United kingdom,Bilborough,"Bilborough, United kingdom"
51592,United kingdom,Billericay,"Billericay, United kingdom"
51593,United kingdom,Billesdon,"Billesdon, United kingdom"
51594,United kingdom,Billingborough,"Billingborough, United kingdom"
51595,United kingdom,Billinge,"Billinge, United kingdom"
51596,United kingdom,Billingham,"Billingham, United kingdom"
51597,United kingdom,Billinghay,"Billinghay, United kingdom"
51598,United kingdom,Billingshurst,"Billingshurst, United kingdom"
51599,United kingdom,Bilsington,"Bilsington, United kingdom"
51600,United kingdom,Bilsthorpe,"Bilsthorpe, United kingdom"
51601,United kingdom,Bilston,"Bilston, United kingdom"
51602,United kingdom,Bilton,"Bilton, United kingdom"
51603,United kingdom,Binbrook,"Binbrook, United kingdom"
51604,United kingdom,Binfield,"Binfield, United kingdom"
51605,United kingdom,Bingham,"Bingham, United kingdom"
51606,United kingdom,Bingley,"Bingley, United kingdom"
51607,United kingdom,Binley,"Binley, United kingdom"
51608,United kingdom,Binley,"Binley, United kingdom"
51609,United kingdom,Binstead,"Binstead, United kingdom"
51610,United kingdom,Birch Vale,"Birch Vale, United kingdom"
51611,United kingdom,Birchington,"Birchington, United kingdom"
51612,United kingdom,Birchwood,"Birchwood, United kingdom"
51613,United kingdom,Bircotes,"Bircotes, United kingdom"
51614,United kingdom,Birdham,"Birdham, United kingdom"
51615,United kingdom,Birdham,"Birdham, United kingdom"
51616,United kingdom,Birdlip,"Birdlip, United kingdom"
51617,United kingdom,Birkdale,"Birkdale, United kingdom"
51618,United kingdom,Birkenhead,"Birkenhead, United kingdom"
51619,United kingdom,Birkenshaw,"Birkenshaw, United kingdom"
51620,United kingdom,Birmingham,"Birmingham, United kingdom"
51621,United kingdom,Birsay,"Birsay, United kingdom"
51622,United kingdom,Birstall,"Birstall, United kingdom"
51623,United kingdom,Birstall,"Birstall, United kingdom"
51624,United kingdom,Birstwith,"Birstwith, United kingdom"
51625,United kingdom,Birtley,"Birtley, United kingdom"
51626,United kingdom,Birtley,"Birtley, United kingdom"
51627,United kingdom,Bishop Auckland,"Bishop Auckland, United kingdom"
51628,United kingdom,Bishop Thornton,"Bishop Thornton, United kingdom"
51629,United kingdom,Bishopbriggs,"Bishopbriggs, United kingdom"
51630,United kingdom,Bishops Castle,"Bishops Castle, United kingdom"
51631,United kingdom,Bishop's Cleeve,"Bishop's Cleeve, United kingdom"
51632,United kingdom,Bishops Frome,"Bishops Frome, United kingdom"
51633,United kingdom,Bishops Itchington,"Bishops Itchington, United kingdom"
51634,United kingdom,Bishops Lydeard,"Bishops Lydeard, United kingdom"
51635,United kingdom,Bishop's Stortford,"Bishop's Stortford, United kingdom"
51636,United kingdom,Bishop's Waltham,"Bishop's Waltham, United kingdom"
51637,United kingdom,Bishopsteignton,"Bishopsteignton, United kingdom"
51638,United kingdom,Bishopstoke,"Bishopstoke, United kingdom"
51639,United kingdom,Bishopsworth,"Bishopsworth, United kingdom"
51640,United kingdom,Bishopton,"Bishopton, United kingdom"
51641,United kingdom,Bisley,"Bisley, United kingdom"
51642,United kingdom,Bisley,"Bisley, United kingdom"
51643,United kingdom,Bitton,"Bitton, United kingdom"
51644,United kingdom,Blaby,"Blaby, United kingdom"
51645,United kingdom,Black Pill,"Black Pill, United kingdom"
51646,United kingdom,Blackboys,"Blackboys, United kingdom"
51647,United kingdom,Blackburn,"Blackburn, United kingdom"
51648,United kingdom,Blackburn,"Blackburn, United kingdom"
51649,United kingdom,Blackbush,"Blackbush, United kingdom"
51650,United kingdom,Blackford,"Blackford, United kingdom"
51651,United kingdom,Blackford,"Blackford, United kingdom"
51652,United kingdom,Blackford,"Blackford, United kingdom"
51653,United kingdom,Blackfordby,"Blackfordby, United kingdom"
51654,United kingdom,Blackhall Colliery,"Blackhall Colliery, United kingdom"
51655,United kingdom,Blackheath,"Blackheath, United kingdom"
51656,United kingdom,Blackheath/London,"Blackheath/London, United kingdom"
51657,United kingdom,Blackmoor,"Blackmoor, United kingdom"
51658,United kingdom,Blackmore End,"Blackmore End, United kingdom"
51659,United kingdom,Blackness,"Blackness, United kingdom"
51660,United kingdom,Blackpool,"Blackpool, United kingdom"
51661,United kingdom,Blackrod,"Blackrod, United kingdom"
51662,United kingdom,Blackwell,"Blackwell, United kingdom"
51663,United kingdom,Blackwood,"Blackwood, United kingdom"
51664,United kingdom,Blackwood Hill,"Blackwood Hill, United kingdom"
51665,United kingdom,Blaenau-Ffestiniog,"Blaenau-Ffestiniog, United kingdom"
51666,United kingdom,Blaenavon,"Blaenavon, United kingdom"
51667,United kingdom,Blaina,"Blaina, United kingdom"
51668,United kingdom,Blair Atholl,"Blair Atholl, United kingdom"
51669,United kingdom,Blairgowrie,"Blairgowrie, United kingdom"
51670,United kingdom,Blairmore,"Blairmore, United kingdom"
51671,United kingdom,Blakeney,"Blakeney, United kingdom"
51672,United kingdom,Blakeney,"Blakeney, United kingdom"
51673,United kingdom,Blandford Forum,"Blandford Forum, United kingdom"
51674,United kingdom,Blandford Saint Mary,"Blandford Saint Mary, United kingdom"
51675,United kingdom,Blantyre,"Blantyre, United kingdom"
51676,United kingdom,Blaydon,"Blaydon, United kingdom"
51677,United kingdom,Bletchingdon,"Bletchingdon, United kingdom"
51678,United kingdom,Bletchingley,"Bletchingley, United kingdom"
51679,United kingdom,Bletchley,"Bletchley, United kingdom"
51680,United kingdom,Blewbury,"Blewbury, United kingdom"
51681,United kingdom,Blidworth,"Blidworth, United kingdom"
51682,United kingdom,Blockley,"Blockley, United kingdom"
51683,United kingdom,Bloxwich,"Bloxwich, United kingdom"
51684,United kingdom,Blunham,"Blunham, United kingdom"
51685,United kingdom,Blyth,"Blyth, United kingdom"
51686,United kingdom,Blyth,"Blyth, United kingdom"
51687,United kingdom,Blythe Bridge,"Blythe Bridge, United kingdom"
51688,United kingdom,Blyton,"Blyton, United kingdom"
51689,United kingdom,Boat of Garten,"Boat of Garten, United kingdom"
51690,United kingdom,Bobbington,"Bobbington, United kingdom"
51691,United kingdom,Boddam,"Boddam, United kingdom"
51692,United kingdom,Bodelwyddan,"Bodelwyddan, United kingdom"
51693,United kingdom,Bodffordd,"Bodffordd, United kingdom"
51694,United kingdom,Bodmin,"Bodmin, United kingdom"
51695,United kingdom,Bodorgan,"Bodorgan, United kingdom"
51696,United kingdom,Bognor Regis,"Bognor Regis, United kingdom"
51697,United kingdom,Boldon,"Boldon, United kingdom"
51698,United kingdom,Bollington,"Bollington, United kingdom"
51699,United kingdom,Bolney,"Bolney, United kingdom"
51700,United kingdom,Bolsover,"Bolsover, United kingdom"
51701,United kingdom,Bolt Head,"Bolt Head, United kingdom"
51702,United kingdom,Bolton,"Bolton, United kingdom"
51703,United kingdom,Bolton le Sands,"Bolton le Sands, United kingdom"
51704,United kingdom,Boncath,"Boncath, United kingdom"
51705,United kingdom,Bo'ness,"Bo'ness, United kingdom"
51706,United kingdom,Boningale,"Boningale, United kingdom"
51707,United kingdom,Bonnybridge,"Bonnybridge, United kingdom"
51708,United kingdom,Bonnyrigg,"Bonnyrigg, United kingdom"
51709,United kingdom,Bontddu,"Bontddu, United kingdom"
51710,United kingdom,Bootle,"Bootle, United kingdom"
51711,United kingdom,Bootle,"Bootle, United kingdom"
51712,United kingdom,Borden,"Borden, United kingdom"
51713,United kingdom,Bordesley Green,"Bordesley Green, United kingdom"
51714,United kingdom,Bordon,"Bordon, United kingdom"
51715,United kingdom,Bordon Camp,"Bordon Camp, United kingdom"
51716,United kingdom,Boreham,"Boreham, United kingdom"
51717,United kingdom,Borehamwood,"Borehamwood, United kingdom"
51718,United kingdom,Borough Green,"Borough Green, United kingdom"
51719,United kingdom,Boroughbridge,"Boroughbridge, United kingdom"
51720,United kingdom,Borrowstounness,"Borrowstounness, United kingdom"
51721,United kingdom,Borrowstowness,"Borrowstowness, United kingdom"
51722,United kingdom,Borth-y-Gest,"Borth-y-Gest, United kingdom"
51723,United kingdom,Boscastle,"Boscastle, United kingdom"
51724,United kingdom,Boscombe,"Boscombe, United kingdom"
51725,United kingdom,Bosham,"Bosham, United kingdom"
51726,United kingdom,Bosley,"Bosley, United kingdom"
51727,United kingdom,Boston,"Boston, United kingdom"
51728,United kingdom,Boston Spa,"Boston Spa, United kingdom"
51729,United kingdom,Bothwell,"Bothwell, United kingdom"
51730,United kingdom,Botley,"Botley, United kingdom"
51731,United kingdom,Botley,"Botley, United kingdom"
51732,United kingdom,Botley,"Botley, United kingdom"
51733,United kingdom,Bottesford,"Bottesford, United kingdom"
51734,United kingdom,Boughton,"Boughton, United kingdom"
51735,United kingdom,Boughton,"Boughton, United kingdom"
51736,United kingdom,Boulmer,"Boulmer, United kingdom"
51737,United kingdom,Boultham,"Boultham, United kingdom"
51738,United kingdom,Bourne,"Bourne, United kingdom"
51739,United kingdom,Bourne End,"Bourne End, United kingdom"
51740,United kingdom,Bournemouth,"Bournemouth, United kingdom"
51741,United kingdom,Bournville/Birmingham,"Bournville/Birmingham, United kingdom"
51742,United kingdom,Bourton,"Bourton, United kingdom"
51743,United kingdom,Bourton-on-the-Water,"Bourton-on-the-Water, United kingdom"
51744,United kingdom,Bovey Tracey,"Bovey Tracey, United kingdom"
51745,United kingdom,Bovingdon,"Bovingdon, United kingdom"
51746,United kingdom,Bovington Camp,"Bovington Camp, United kingdom"
51747,United kingdom,Bow,"Bow, United kingdom"
51748,United kingdom,Bow Street,"Bow Street, United kingdom"
51749,United kingdom,Bowburn,"Bowburn, United kingdom"
51750,United kingdom,Bowden,"Bowden, United kingdom"
51751,United kingdom,Bowdon,"Bowdon, United kingdom"
51752,United kingdom,Bowers Gifford,"Bowers Gifford, United kingdom"
51753,United kingdom,Bowling,"Bowling, United kingdom"
51754,United kingdom,Bowthorpe,"Bowthorpe, United kingdom"
51755,United kingdom,Box,"Box, United kingdom"
51756,United kingdom,Boxford,"Boxford, United kingdom"
51757,United kingdom,Boxted,"Boxted, United kingdom"
51758,United kingdom,Bracadale,"Bracadale, United kingdom"
51759,United kingdom,Brackley,"Brackley, United kingdom"
51760,United kingdom,Brackmills,"Brackmills, United kingdom"
51761,United kingdom,Bracknell,"Bracknell, United kingdom"
51762,United kingdom,Bracora,"Bracora, United kingdom"
51763,United kingdom,Braddan,"Braddan, United kingdom"
51764,United kingdom,Bradenham,"Bradenham, United kingdom"
51765,United kingdom,Bradfield,"Bradfield, United kingdom"
51766,United kingdom,Bradfield,"Bradfield, United kingdom"
51767,United kingdom,Bradford,"Bradford, United kingdom"
51768,United kingdom,Bradford,"Bradford, United kingdom"
51769,United kingdom,Bradford,"Bradford, United kingdom"
51770,United kingdom,Bradford on Avon,"Bradford on Avon, United kingdom"
51771,United kingdom,Bradley,"Bradley, United kingdom"
51772,United kingdom,Bradley,"Bradley, United kingdom"
51773,United kingdom,Bradley Stoke,"Bradley Stoke, United kingdom"
51774,United kingdom,Bradstone,"Bradstone, United kingdom"
51775,United kingdom,Bradwell,"Bradwell, United kingdom"
51776,United kingdom,Bradwell,"Bradwell, United kingdom"
51777,United kingdom,Bradwell on Sea,"Bradwell on Sea, United kingdom"
51778,United kingdom,Bradwell Waterside,"Bradwell Waterside, United kingdom"
51779,United kingdom,Bradworthy,"Bradworthy, United kingdom"
51780,United kingdom,Braefoot Bay,"Braefoot Bay, United kingdom"
51781,United kingdom,Braehead,"Braehead, United kingdom"
51782,United kingdom,Braemar,"Braemar, United kingdom"
51783,United kingdom,Braevig,"Braevig, United kingdom"
51784,United kingdom,Braintree,"Braintree, United kingdom"
51785,United kingdom,Braiseworth,"Braiseworth, United kingdom"
51786,United kingdom,Braishfield,"Braishfield, United kingdom"
51787,United kingdom,Bramdean,"Bramdean, United kingdom"
51788,United kingdom,Bramfield,"Bramfield, United kingdom"
51789,United kingdom,Bramfield,"Bramfield, United kingdom"
51790,United kingdom,Bramhall,"Bramhall, United kingdom"
51791,United kingdom,Bramhope,"Bramhope, United kingdom"
51792,United kingdom,Bramley,"Bramley, United kingdom"
51793,United kingdom,Bramley,"Bramley, United kingdom"
51794,United kingdom,Bramley,"Bramley, United kingdom"
51795,United kingdom,Bramley,"Bramley, United kingdom"
51796,United kingdom,Brampton,"Brampton, United kingdom"
51797,United kingdom,Brampton,"Brampton, United kingdom"
51798,United kingdom,Brampton,"Brampton, United kingdom"
51799,United kingdom,Brampton,"Brampton, United kingdom"
51800,United kingdom,Bramshall,"Bramshall, United kingdom"
51801,United kingdom,Bramshill,"Bramshill, United kingdom"
51802,United kingdom,Bran End,"Bran End, United kingdom"
51803,United kingdom,Brancaster Staithe,"Brancaster Staithe, United kingdom"
51804,United kingdom,Brandesburton,"Brandesburton, United kingdom"
51805,United kingdom,Brandon,"Brandon, United kingdom"
51806,United kingdom,Branscombe,"Branscombe, United kingdom"
51807,United kingdom,Bransgore,"Bransgore, United kingdom"
51808,United kingdom,Branston,"Branston, United kingdom"
51809,United kingdom,Branston,"Branston, United kingdom"
51810,United kingdom,Brantham,"Brantham, United kingdom"
51811,United kingdom,Brassington,"Brassington, United kingdom"
51812,United kingdom,Braughing,"Braughing, United kingdom"
51813,United kingdom,Braunstone,"Braunstone, United kingdom"
51814,United kingdom,Braunton,"Braunton, United kingdom"
51815,United kingdom,Brawdy,"Brawdy, United kingdom"
51816,United kingdom,Bray,"Bray, United kingdom"
51817,United kingdom,Brayton,"Brayton, United kingdom"
51818,United kingdom,Breage,"Breage, United kingdom"
51819,United kingdom,Breakish,"Breakish, United kingdom"
51820,United kingdom,Breasclete,"Breasclete, United kingdom"
51821,United kingdom,Breaston,"Breaston, United kingdom"
51822,United kingdom,Brechin,"Brechin, United kingdom"
51823,United kingdom,Brecon,"Brecon, United kingdom"
51824,United kingdom,Bredbury,"Bredbury, United kingdom"
51825,United kingdom,Bredhurst,"Bredhurst, United kingdom"
51826,United kingdom,Breedon on the Hill,"Breedon on the Hill, United kingdom"
51827,United kingdom,Breich,"Breich, United kingdom"
51828,United kingdom,Brenchley,"Brenchley, United kingdom"
51829,United kingdom,Brent,"Brent, United kingdom"
51830,United kingdom,Brentford,"Brentford, United kingdom"
51831,United kingdom,Brentwood,"Brentwood, United kingdom"
51832,United kingdom,Brenzett,"Brenzett, United kingdom"
51833,United kingdom,Brettenham,"Brettenham, United kingdom"
51834,United kingdom,Brewood,"Brewood, United kingdom"
51835,United kingdom,Bricket Wood,"Bricket Wood, United kingdom"
51836,United kingdom,Bricklehampton,"Bricklehampton, United kingdom"
51837,United kingdom,Bridge of Allan,"Bridge of Allan, United kingdom"
51838,United kingdom,Bridge of Don,"Bridge of Don, United kingdom"
51839,United kingdom,Bridge of Orchy,"Bridge of Orchy, United kingdom"
51840,United kingdom,Bridge of Weir,"Bridge of Weir, United kingdom"
51841,United kingdom,Bridgend,"Bridgend, United kingdom"
51842,United kingdom,Bridgend,"Bridgend, United kingdom"
51843,United kingdom,Bridgend,"Bridgend, United kingdom"
51844,United kingdom,Bridgerule,"Bridgerule, United kingdom"
51845,United kingdom,Bridgnorth,"Bridgnorth, United kingdom"
51846,United kingdom,Bridgtown,"Bridgtown, United kingdom"
51847,United kingdom,Bridgwater,"Bridgwater, United kingdom"
51848,United kingdom,Bridlington,"Bridlington, United kingdom"
51849,United kingdom,Bridport,"Bridport, United kingdom"
51850,United kingdom,Brierfield,"Brierfield, United kingdom"
51851,United kingdom,Brierley Hill,"Brierley Hill, United kingdom"
51852,United kingdom,Brigg,"Brigg, United kingdom"
51853,United kingdom,Brighouse,"Brighouse, United kingdom"
51854,United kingdom,Brighstone,"Brighstone, United kingdom"
51855,United kingdom,Brightlingsea,"Brightlingsea, United kingdom"
51856,United kingdom,Brighton,"Brighton, United kingdom"
51857,United kingdom,Brigstock,"Brigstock, United kingdom"
51858,United kingdom,Brill,"Brill, United kingdom"
51859,United kingdom,Brimfield,"Brimfield, United kingdom"
51860,United kingdom,Brimsdown,"Brimsdown, United kingdom"
51861,United kingdom,Brinklow,"Brinklow, United kingdom"
51862,United kingdom,Brinkworth,"Brinkworth, United kingdom"
51863,United kingdom,Brinscall,"Brinscall, United kingdom"
51864,United kingdom,Brinsworth,"Brinsworth, United kingdom"
51865,United kingdom,Brislington,"Brislington, United kingdom"
51866,United kingdom,Bristol,"Bristol, United kingdom"
51867,United kingdom,Briston,"Briston, United kingdom"
51868,United kingdom,Briton Ferry,"Briton Ferry, United kingdom"
51869,United kingdom,Brixham,"Brixham, United kingdom"
51870,United kingdom,Brixworth,"Brixworth, United kingdom"
51871,United kingdom,Brize Norton,"Brize Norton, United kingdom"
51872,United kingdom,Broadbridge Heath,"Broadbridge Heath, United kingdom"
51873,United kingdom,"Broadford, Isle of Skye","Broadford, Isle of Skye, United kingdom"
51874,United kingdom,Broadheath,"Broadheath, United kingdom"
51875,United kingdom,Broadmayne,"Broadmayne, United kingdom"
51876,United kingdom,Broadmoor,"Broadmoor, United kingdom"
51877,United kingdom,Broadstairs,"Broadstairs, United kingdom"
51878,United kingdom,Broadstone,"Broadstone, United kingdom"
51879,United kingdom,Broadway,"Broadway, United kingdom"
51880,United kingdom,Brockenhurst,"Brockenhurst, United kingdom"
51881,United kingdom,Brockweir,"Brockweir, United kingdom"
51882,United kingdom,Brockworth,"Brockworth, United kingdom"
51883,United kingdom,Brocton,"Brocton, United kingdom"
51884,United kingdom,"Brodick, Isle of Arran","Brodick, Isle of Arran, United kingdom"
51885,United kingdom,Bromborough,"Bromborough, United kingdom"
51886,United kingdom,Brome,"Brome, United kingdom"
51887,United kingdom,Bromham,"Bromham, United kingdom"
51888,United kingdom,Bromley,"Bromley, United kingdom"
51889,United kingdom,Brompton,"Brompton, United kingdom"
51890,United kingdom,Bromsgrove,"Bromsgrove, United kingdom"
51891,United kingdom,Bromyard,"Bromyard, United kingdom"
51892,United kingdom,Bronington,"Bronington, United kingdom"
51893,United kingdom,Brook,"Brook, United kingdom"
51894,United kingdom,Brookenby,"Brookenby, United kingdom"
51895,United kingdom,Brookmans Park,"Brookmans Park, United kingdom"
51896,United kingdom,Broomfleet,"Broomfleet, United kingdom"
51897,United kingdom,Brora,"Brora, United kingdom"
51898,United kingdom,Broseley,"Broseley, United kingdom"
51899,United kingdom,Brotton,"Brotton, United kingdom"
51900,United kingdom,Brough,"Brough, United kingdom"
51901,United kingdom,Broughton,"Broughton, United kingdom"
51902,United kingdom,Broughton,"Broughton, United kingdom"
51903,United kingdom,Broughton,"Broughton, United kingdom"
51904,United kingdom,Broughton Astley,"Broughton Astley, United kingdom"
51905,United kingdom,Broughton In Furness,"Broughton In Furness, United kingdom"
51906,United kingdom,Broughton Poggs,"Broughton Poggs, United kingdom"
51907,United kingdom,Broughty Ferry,"Broughty Ferry, United kingdom"
51908,United kingdom,Brownhills,"Brownhills, United kingdom"
51909,United kingdom,Broxbourne,"Broxbourne, United kingdom"
51910,United kingdom,Broxburn,"Broxburn, United kingdom"
51911,United kingdom,Broxted,"Broxted, United kingdom"
51912,United kingdom,Bruichladdich,"Bruichladdich, United kingdom"
51913,United kingdom,Bruntingthorpe,"Bruntingthorpe, United kingdom"
51914,United kingdom,"Bruray, Out Skerries","Bruray, Out Skerries, United kingdom"
51915,United kingdom,Bruton,"Bruton, United kingdom"
51916,United kingdom,Bryher,"Bryher, United kingdom"
51917,United kingdom,Bryn,"Bryn, United kingdom"
51918,United kingdom,Bryncir,"Bryncir, United kingdom"
51919,United kingdom,Brynmawr,"Brynmawr, United kingdom"
51920,United kingdom,Brynmenyn,"Brynmenyn, United kingdom"
51921,United kingdom,Brynna,"Brynna, United kingdom"
51922,United kingdom,Brynsadler,"Brynsadler, United kingdom"
51923,United kingdom,Brynsiencyn,"Brynsiencyn, United kingdom"
51924,United kingdom,Brynteg,"Brynteg, United kingdom"
51925,United kingdom,Bubwith,"Bubwith, United kingdom"
51926,United kingdom,Buchan,"Buchan, United kingdom"
51927,United kingdom,Buckden,"Buckden, United kingdom"
51928,United kingdom,Buckden,"Buckden, United kingdom"
51929,United kingdom,Buckfast,"Buckfast, United kingdom"
51930,United kingdom,Buckfastleigh,"Buckfastleigh, United kingdom"
51931,United kingdom,Buckhaven,"Buckhaven, United kingdom"
51932,United kingdom,Buckhurst Hill,"Buckhurst Hill, United kingdom"
51933,United kingdom,Buckie,"Buckie, United kingdom"
51934,United kingdom,Buckingham,"Buckingham, United kingdom"
51935,United kingdom,Buckland Brewer,"Buckland Brewer, United kingdom"
51936,United kingdom,Buckley,"Buckley, United kingdom"
51937,United kingdom,Buck's Cross,"Buck's Cross, United kingdom"
51938,United kingdom,Bucksburn,"Bucksburn, United kingdom"
51939,United kingdom,Bude,"Bude, United kingdom"
51940,United kingdom,Budleigh Salterton,"Budleigh Salterton, United kingdom"
51941,United kingdom,Budock Water,"Budock Water, United kingdom"
51942,United kingdom,Bugbrooke,"Bugbrooke, United kingdom"
51943,United kingdom,Bugle,"Bugle, United kingdom"
51944,United kingdom,Buildwas,"Buildwas, United kingdom"
51945,United kingdom,Builth Road,"Builth Road, United kingdom"
51946,United kingdom,Builth Wells,"Builth Wells, United kingdom"
51947,United kingdom,Bulkington,"Bulkington, United kingdom"
51948,United kingdom,Bulpham,"Bulpham, United kingdom"
51949,United kingdom,Bulphan,"Bulphan, United kingdom"
51950,United kingdom,Bulwell/Nottingham,"Bulwell/Nottingham, United kingdom"
51951,United kingdom,Bunbury,"Bunbury, United kingdom"
51952,United kingdom,Bunessan,"Bunessan, United kingdom"
51953,United kingdom,Bungay,"Bungay, United kingdom"
51954,United kingdom,Bunnahabhain,"Bunnahabhain, United kingdom"
51955,United kingdom,Bunny,"Bunny, United kingdom"
51956,United kingdom,Buntingford,"Buntingford, United kingdom"
51957,United kingdom,Buntingford,"Buntingford, United kingdom"
51958,United kingdom,Burbage,"Burbage, United kingdom"
51959,United kingdom,Burbage,"Burbage, United kingdom"
51960,United kingdom,Bures,"Bures, United kingdom"
51961,United kingdom,Burford,"Burford, United kingdom"
51962,United kingdom,Burgess Hill,"Burgess Hill, United kingdom"
51963,United kingdom,Burgh,"Burgh, United kingdom"
51964,United kingdom,Burghead,"Burghead, United kingdom"
51965,United kingdom,Burghfield Common,"Burghfield Common, United kingdom"
51966,United kingdom,Burley,"Burley, United kingdom"
51967,United kingdom,Burnaston,"Burnaston, United kingdom"
51968,United kingdom,Burneston,"Burneston, United kingdom"
51969,United kingdom,Burnham,"Burnham, United kingdom"
51970,United kingdom,Burnham Green,"Burnham Green, United kingdom"
51971,United kingdom,Burnham Market,"Burnham Market, United kingdom"
51972,United kingdom,Burnham on Crouch,"Burnham on Crouch, United kingdom"
51973,United kingdom,Burnham-on-Sea,"Burnham-on-Sea, United kingdom"
51974,United kingdom,Burnley,"Burnley, United kingdom"
51975,United kingdom,Burnmouth,"Burnmouth, United kingdom"
51976,United kingdom,Burnopfield,"Burnopfield, United kingdom"
51977,United kingdom,Burnside,"Burnside, United kingdom"
51978,United kingdom,Burntisland,"Burntisland, United kingdom"
51979,United kingdom,Burntwood,"Burntwood, United kingdom"
51980,United kingdom,Burpham,"Burpham, United kingdom"
51981,United kingdom,Burravoe,"Burravoe, United kingdom"
51982,United kingdom,Burray,"Burray, United kingdom"
51983,United kingdom,Burrelton,"Burrelton, United kingdom"
51984,United kingdom,Burridge,"Burridge, United kingdom"
51985,United kingdom,Burrow,"Burrow, United kingdom"
51986,United kingdom,Burrowbridge,"Burrowbridge, United kingdom"
51987,United kingdom,Burry Port,"Burry Port, United kingdom"
51988,United kingdom,Burscough,"Burscough, United kingdom"
51989,United kingdom,Bursledon,"Bursledon, United kingdom"
51990,United kingdom,Burslem,"Burslem, United kingdom"
51991,United kingdom,Burston,"Burston, United kingdom"
51992,United kingdom,Burstwick,"Burstwick, United kingdom"
51993,United kingdom,Burton,"Burton, United kingdom"
51994,United kingdom,Burton,"Burton, United kingdom"
51995,United kingdom,Burton Bradstock,"Burton Bradstock, United kingdom"
51996,United kingdom,Burton Joyce,"Burton Joyce, United kingdom"
51997,United kingdom,Burton Latimer,"Burton Latimer, United kingdom"
51998,United kingdom,Burton on Trent,"Burton on Trent, United kingdom"
51999,United kingdom,Burton upon Stather,"Burton upon Stather, United kingdom"
52000,United kingdom,Burton upon Trent,"Burton upon Trent, United kingdom"
52001,United kingdom,Burtonwood,"Burtonwood, United kingdom"
52002,United kingdom,Burwash,"Burwash, United kingdom"
52003,United kingdom,Burwell,"Burwell, United kingdom"
52004,United kingdom,Burwick,"Burwick, United kingdom"
52005,United kingdom,Bury,"Bury, United kingdom"
52006,United kingdom,Bury,"Bury, United kingdom"
52007,United kingdom,Bury Saint Edmunds,"Bury Saint Edmunds, United kingdom"
52008,United kingdom,Bushey,"Bushey, United kingdom"
52009,United kingdom,Bushey Heath,"Bushey Heath, United kingdom"
52010,United kingdom,Bushmills,"Bushmills, United kingdom"
52011,United kingdom,Butterleigh,"Butterleigh, United kingdom"
52012,United kingdom,Butterwick,"Butterwick, United kingdom"
52013,United kingdom,Buxton,"Buxton, United kingdom"
52014,United kingdom,Buxton,"Buxton, United kingdom"
52015,United kingdom,Byfleet,"Byfleet, United kingdom"
52016,United kingdom,Byley,"Byley, United kingdom"
52017,United kingdom,Cadeby,"Cadeby, United kingdom"
52018,United kingdom,Cadeby,"Cadeby, United kingdom"
52019,United kingdom,Cadgwith,"Cadgwith, United kingdom"
52020,United kingdom,Cadishead,"Cadishead, United kingdom"
52021,United kingdom,Caenby,"Caenby, United kingdom"
52022,United kingdom,Caernarfon,"Caernarfon, United kingdom"
52023,United kingdom,Caerphilly,"Caerphilly, United kingdom"
52024,United kingdom,Caersws,"Caersws, United kingdom"
52025,United kingdom,Caerwent,"Caerwent, United kingdom"
52026,United kingdom,Caerwys,"Caerwys, United kingdom"
52027,United kingdom,Cairnbulg,"Cairnbulg, United kingdom"
52028,United kingdom,Cairndow,"Cairndow, United kingdom"
52029,United kingdom,Cairnryan,"Cairnryan, United kingdom"
52030,United kingdom,Caister on Sea,"Caister on Sea, United kingdom"
52031,United kingdom,Caistor,"Caistor, United kingdom"
